pessoa
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
1,José Carlos Santos, 123.456.789-12, jose@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
2,Gabriel Carlos Santos, 123.456.818-12, gabriel@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
3,Gabriel Jesus, 236.456.818-12, gjesus@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
4,Edson Júnior, 784.456.818-12, edsonj@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
5,Helena Rosa, 586.456.818-12, helenar@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
6,Matheus Ribeiro, 734.463.818-12, matheus.ribeiro@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
7,José Junior, 234.547.818-12, jose.junior@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
8,Victor Lemos, 245.965.452-12, victorlemos@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
9,Keslley Lima, 456.567.452-12, keslleyls@exemplo.com,123456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
10,Keslley  Silva Lima, 116.567.452-12, keslleyls12@exemplo.com,14433456, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
11,Teste  Silva Lima, 111.511.452-12, teste11@exemplo.com,145633, true,,,,,,,,,
PKpes,nomePes, cpfPes, emailPes, senhaUsu, ehUsuAtivo,,,,,,,,,
12,Testando Lima, 010.511.452-12, testando10@exemplo.com,145633, true,,,,,,,,,
undAdm
nomeUnd,siglaUndAdm,tipoUnd,minInat,ultPort,anoPort,ultNumExped,ultNumProp
Instituto de Informática, INF,1,15,201815,2018,0,-1
designado
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
1,12/11/2018, Coordenador, Novo coordenador de curso,220, ,1,1,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
2,12/11/2018, Coordenador, Novo coordenador de curso,220, ,3,2,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
3,12/11/2018, Coordenador, Novo coordenador de curso,220, ,4,3,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
4,12/11/2018, Coordenador, Novo coordenador de curso,220, ,4,4,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
5,12/11/2018, Coordenador, Novo coordenador de curso,220, ,11,5,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
6,12/11/2018, Coordenador, Novo coordenador de curso,220, ,12,6,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
7,12/11/2018, Coordenador, Novo coordenador de curso,220, ,13,7,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
8,12/11/2018, Coordenador, Novo coordenador de curso,220, ,14,8,,,,,,,
PKdesg,dtCienciaDesig, tipFuncDesig, descrFuncDesig, horasDefFuncDesig, horasExecFuncDesig, PKportaria, PKpes,,,,,,,
9,12/11/2018, Coordenador, Novo coordenador de curso,220, ,15,9,,,,,,,
portaria
siglaUndId, anoId, seqId, status, assunto,expedidor,unidadeExpedidora,
INF,2018,0,ATIVA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,2,CANCELADA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,3,PROPOSTA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,4,CANCELADA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,11,ATIVA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,14,PROPOSTA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,10,ATIVA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,15,ATIVA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,12,EXPIRADA, Novo coordenador de curso,123.456.789-12,INF,
INF,2018,13,PROPOSTA, Novo coordenador de curso,123.456.789-12,INF,
